Disease,Description,Symptoms ,Precautions,Medications,Diets
Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"Rash, itching, swelling, difficulty breathing, anaphylaxis, nausea, vomiting, diarrhea, abdominal pain, dizziness, headache, confusion, tremors, skin peeling, photosensitivity, bruising, fatigue, shortness of breath, wheezing, cough, fever, swollen lymph nodes, liver or kidney changes.","To prevent drug reactions, always inform your healthcare provider about any allergies or previous drug reactions before starting new medications. Avoid self-medication and consult your doctor about over-the-counter drugs or supplements.","Antihistamines (Diphenhydramine, Loratadine), Corticosteroids (Prednisone), Epinephrine (EpiPen), H2 Blockers (Ranitidine), Topical Treatments (Hydrocortisone cream), Intravenous Fluids.","Easily digestible foods (rice, porridge, boiled potatoes), fruits (oranges, papaya, watermelon), plenty of fluids (water, coconut water, herbal teas), protein-rich foods (eggs, chicken broth, legumes), iron-rich foods (spinach, red meat), avoid heavy foods (greasy or high-sugar items)."
Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,"Fever, chills, headache, sweating, fatigue, nausea, vomiting, muscle pain, cough, diarrhea, anemia.","To prevent malaria, use insect repellent, wear long sleeves, and sleep under mosquito nets; avoid high-risk areas, especially during peak seasons; seek medical attention if experiencing symptoms for prompt diagnosis and treatment; and follow prescribed antimalarial medication regimens as directed.","Chloroquine , Artemether-Lumefantrine , Mefloquine , Quinine , Primaquine","Drink plenty of fluids to prevent dehydration,dietary recommendations include staying hydrated, consuming nutritious foods like fruits, vegetables, whole grains, and lean proteins, incorporating iron-rich foods such as spinach, legumes, and red meat to combat anemia, and avoiding heavy or greasy foods that may worsen nausea."
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body. These substances can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","Allergy symptoms typically include sneezing, a runny or stuffy nose, and itchy, watery eyes, often accompanied by itching in the nose, throat, or roof of the mouth. Some individuals may experience coughing, wheezing, or shortness of breath, especially if asthma is triggered by the allergy. Skin reactions such as hives or red, itchy welts, and swelling around the eyes, lips, or face are also common.","For managing allergies, avoid allergen-triggering foods like nuts, shellfish, and dairy, and incorporate anti-inflammatory foods such as those rich in omega-3 fatty acids, fruits, and vegetables. Stay hydrated to flush out allergens, and consume vitamin C-rich foods like oranges and bell peppers to support the immune system.","Common medications include antihistamines (Loratadine, Cetirizine) for symptom relief, decongestants (Pseudoephedrine) for congestion, corticosteroids (Fluticasone) for inflammation, and Montelukast for asthma and seasonal allergy control.","Hydration is crucial, so drink plenty of fluids, including water, coconut water, and herbal teas, to prevent dehydration from fever and sweating. Include protein-rich foods like eggs, chicken broth, and legumes to help repair tissues and regain strength. Iron-rich foods, such as spinach and red meat, are also important to combat anemia, a common complication of malaria. Avoid heavy, greasy foods and those high in sugar, as they can worsen nausea and discomfort."
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.","Fatigue, weight gain, cold intolerance, dry skin",Regular monitoring of thyroid levels	,Levothyroxine to replace missing thyroid hormone; regular blood tests to adjust dosage.,"Iodine-rich foods (fish, dairy), whole grains"
Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","Red patches covered with thick, silvery scales, itching, dry skin, thickened nails","Avoid known triggers such as stress, smoking, and excessive alcohol consumption, which can exacerbate symptoms.","Topical corticosteroids for flare-ups, methotrexate for severe cases, and biologics for long-term management.","Omega-3 fatty acids (fatty fish, flaxseeds), fruits, and vegetables rich in antioxidants can help reduce inflammation"
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","Heartburn, regurgitation, chest pain, difficulty swallowing, chronic cough",Avoid lying down immediately after eating and elevate the head of the bed to reduce nighttime symptoms.,"Antacids for immediate relief, proton pump inhibitors (omeprazole) for long-term management of symptoms.","Small, frequent meals, avoid spicy, acidic, and high-fat foods to minimize reflux symptoms; maintain a healthy weight"
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood, or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases.","Jaundice, itching, fatigue, abdominal discomfort, dark urine, pale stools","Regular liver function tests, follow-up with healthcare provider",Ursodeoxycholic acid,"Healthy fats (avocado, olive oil), fruits, vegetables, hydration"
Hepatitis A, Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,"Fatigue, jaundice, abdominal pain, nausea, vomiting, loss of appetite","Good hygiene, avoid contaminated food/water, vaccination","Supportive care, no specific antiviral treatment","Hydration, avoid alcohol/fatty foods, easy-to-digest foods"
Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.","Joint pain, stiffness, swelling, decreased range of motion, tenderness","Maintain healthy weight, low-impact exercise","NSAIDs (ibuprofen, naproxen), physical therapy","Anti-inflammatory foods (turmeric, ginger), fruits, vegetables, whole grains"
(vertigo) Paroymsal Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,"Dizziness, balance issues, spinning sensation, nausea, lightheadedness","Move slowly, avoid sudden head movements","Antihistamines (meclizine), physical therapy maneuvers (Epley)","Hydration, balanced diet, avoid caffeine/alcohol"
